1	je 	eg|jeg (Suðuroy)	mwen
2	tu|vous (formel) 	tú	ou
3	il 	hann	li
4	nous 	vit	nou
5	vous (pluriel) 	tit	nou|ou
6	ils 	teir / tær / tey	yo
7	ceci|celui-ci 	hesin / henda / hetta	sa
8	cela|celui-là 	hasin / handa / hatta	sila
9	ici 	her	isit
10	là 	har	la|laba|lòtbò
11	qui 	hvør	kilès / kiyès
12	quoi 	hvat	kisa
13	où 	hvar	ki kote
14	quand 	nær	kilè
15	comment 	hvussu	kòman|kijan
16	ne ... pas 	ikki	pa
17	tout 	alt	tout
18	beaucoup 	nógvir|mangir	anpil
19	quelques 	nakrir	kèk
20	peu 	fáir	enpe|tikras|tikal
21	autre 	annar	lòt
22	un 	ein|eitt	youn|yon
23	deux 	tveir	de
24	trois 	tríggir	twa
25	quatre 	fýra	kat
26	cinq 	fimm	senk
27	grand 	stórur	gran
28	long 	langur	long
29	large 	breiður	laj
30	épais 	tjúkkur	epè|pwès
31	lourd 	tungur	lou
32	petit 	lítil	piti
33	court 	stuttur	kout
34	étroit 	trongur	jennen
35	mince 	klænur|tunnur	fen
36	femme 	kona|kvinna	fanm
37	homme (mâle adulte) 	maður	nonm
38	homme (être humain) 	menniskja	moun
39	enfant 	barn	pitit|timoun
40	femme (épouse) 	kona|vív|húsfrú|húsfrúgv|hústrú	madanm
41	mari 	maður|húsbóndi	mari
42	mère 	móðir|mamma	manman
43	père 	faðir|pápi|babba	papa
44	animal 	djór|dýr	zannimo
45	poisson 	fiskur	pwason
46	oiseau 	fuglur	zwazo
47	chien 	hundur	chen
48	pou 	lús	pou
49	serpent 	slanga|ormur	koulèv
50	ver 	ormur|maðkur	vè
51	arbre 	træ	pyebwa
52	forêt 	skógur|skóg	forè
53	bâton 	keppur|stavur|prukka|puttur	baton
54	fruit 	frukt|ávøkstur	fwi
55	graine 	fræ	grenn
56	feuille (d'un végétal) 	blað|leyv	fèy
57	racine 	rót	rasin
58	écorce 	børkur	kòs|po
59	fleur 	blóma	flè
60	herbe 	gras	zèb
61	corde 	reip|band|lína|tog	kòd
62	peau 	húð	po
63	viande 	kjøt	vyann
64	sang 	blóð	san
65	os 	bein	zo
66	graisse 	feitt|fiti	grès
67	œuf 	egg	ze
68	corne 	horn	kòn
69	queue (d'un animal) 	hali	ke
70	plume (d'un oiseau) 	fjøður	plim
71	cheveux 	hár	cheve
72	tête 	høvd|høvur	tèt
73	oreille 	oyra	zòrèy
74	œil 	eyga	je
75	nez 	nøs	nen
76	bouche 	munnur|muður	bouch
77	dent 	tonn	dan
78	langue (organe) 	tunga	lang
79	ongle 	negl	zong
80	pied 	fótur	pye
81	jambe 	bein|leggur	janm|pye
82	genou 	knæ	jenou
83	main 	hond	men
84	aile 	vongur	zèl
85	ventre 	magi|búkur	vant
86	entrailles|intestins 	tarmur|gørn	zantray|trip
87	cou 	hálsur|nakki	kou
88	dos 	ryggur	do
89	poitrine 	bróst	tete|sen
90	cœur (organe) 	hjarta	kè
91	foie 	livur	fwa
92	boire 	drekka	bwè
93	manger 	eta	manje
94	mordre 	bíta	mòde
95	sucer 	súgva	souse
96	cracher 	spýta	krache
97	vomir 	spýggja	vomi
98	souffler 	blása	soufle
99	respirer 	anda	respire
100	rire 	læa|grína|flenna	ri
101	voir 	síggja	wè
102	entendre 	hoyra	tande
103	savoir 	vita	konnen
104	penser 	hugsa	panse
105	sentir (odorat) 	lukta	santi
106	craindre 	ræðast	pè
107	dormir 	sova	dòmi
108	vivre 	liva	viv
109	mourir 	doyggja	mouri
110	tuer 	drepa	touye
111	se battre 	stríða	goumen|batay
112	chasser (le gibier) 	jaga|veiða	chase|ale lachas
113	frapper 	sláa	frape
114	couper 	skera	koupe
115	fendre 	klúgva	separe|fann|koupe
116	poignarder 	stinga	pike
117	gratter 	klóra	grate
118	creuser 	grava	fouye
119	nager 	svimja	naje
120	voler (dans l'air) 	flúgva|fljúgva|fljúga	vole
121	marcher 	ganga	mache
122	venir 	koma	vini
123	s'étendre|être étendu 	liggja (état)|leggja seg (action)	kouche|blayi
124	s'asseoir|être assis 	sita (état)|leggja seg (action)	chita
125	se lever|se tenir debout 	standa	leve|kanpe
126	tourner (intransitif) 	snúgva|venda|snara	vire
127	tomber 	fella|detta	tonbe
128	donner 	geva	bay
129	tenir 	halda	kenbe
130	serrer|presser 	kroysta	sere
131	frotter 	gníggja	fwote
132	laver 	vaska|tváa	lave
133	essuyer 	turka	siye
134	tirer 	toga	tire
135	pousser 	skumpa	pouse
136	jeter|lancer 	kasta|blaka|tveita	voye|jete
137	lier 	binda|knýta	mare
138	coudre 	seyma	koud
139	compter 	telja	konte
140	dire 	siga	di
141	chanter 	syngja	chante
142	jouer (s'amuser) 	spæla|leika	jwe
143	flotter 	flóta	flote
144	couler (liquide) 	streyma|floyma	koule
145	geler 	frysta	fè glas (réfrigérer=glase)
146	gonfler (intransitif) 	bólgna|hovna|trútna	anfle
147	soleil 	sól	solèy
148	lune 	máni|tungl	lalin
149	étoile 	stjørna	zetwal
150	eau 	vatn	dlo
151	pluie 	regna	lapli
152	rivière 	á|løkur|áarløkur	rivyè|larivyè
153	lac 	vatn|tjørn	lak
154	mer 	sjógvur|hav	lanmè
155	sel 	salt	sèl
156	pierre 	steinur	wòch
157	sable 	sandur	sab
158	poussière 	dust|støv	pousyè
159	terre (sol) 	mold|jørð	tè|latè
160	nuage 	skýggj	nyaj
161	brouillard 	mjørki|toka	bwouya
162	ciel 	himmal|himin	syèl
163	vent 	vindur	van
164	neige 	kavi|snjógvur	nèj|lanèj
165	glace 	ísur	glas
166	fumée 	roykur	lafimen
167	feu 	eldur	dife
168	cendre 	øska	sann
169	brûler (intransitif) 	brenna	boule
170	route 	vegur	chimen|wout
171	montagne 	fjall	mòn|montay
172	rouge 	reyður	wouj
173	vert 	grønur	vèt
174	jaune 	gulur	jòn
175	blanc 	hvítur	blan
176	noir 	svartur	nwa|nwè
177	nuit 	nátt	lannuit
178	jour 	dagur	jou
179	an|année 	ár	ane|lane
180	chaud (température) 	heitur|lýggjur	cho
181	froid (température) 	kalt	frèt
182	plein 	fullur	plen
183	nouveau 	nýggjur	nouvo|nèf
184	vieux 	gamal	vye|aje
185	bon 	góður	bon
186	mauvais 	ringur	move
187	pourri 	rotin	pouri
188	sale 	skitin	sal
189	droit (rectiligne) 	beinur	dwat
190	rond 	rundur	won
191	tranchant 	hvassur	file
192	émoussé 	óhvassur	defile|febli
193	lisse 	slættur	lis
194	mouillé|humide 	vátur	mouye
195	sec 	turrur	sèk
196	juste|correct 	rættur	kòrèk
197	près 	nær	toupre
198	loin 	fjarur	lwen
199	droite 	høgra	dwat|adwat
200	gauche 	vinstra	gòch|agòch
201	à 	hjá	a|nan|- (Non traduit comme dans Je monte à cheval : M ap monte chwal)
202	dans 	í	vnan|anndan|andedan
203	avec (ensemble) 	við|med	ak|avèk
204	et 	og	ak|epi|e|epitou
205	si (condition) 	um	si
206	parce que 	tí	paske|akòz|poutèt
207	nom 	navn	non 
